C01051,Neg,ANG
C01052,Neu,OTH
C01053,Neg,ANG
C01054,Neg,BLM
C01055,Neg,ANG
C01056,Neg,ANG
C01057,Neg,ANG
C01058,Neg,ANG
C01059,Neg,BLM
C01060,Neg,ANG
C01061,Neg,OTH
C01062,Neg,ANG
C01063,Neg,ANG
C01064,Neu,OTH
C01065,Neg,ANG
C01066,Neg,GRF
C01067,Neu,OTH
C01068,Neg,ANG
C01069,Neg,ANG
C01070,Pos,PRY
C01071,Neg,BLM
C01072,Neg,OTH
C01073,Neg,ANG
C01074,Neg,ANG
C01075,Neg,BLM
C01076,Neg,ANG
C01077,Neu,OTH
C01078,Neg,ANG
C01079,Neg,ANG
C01080,Neg,OTH
C01081,Pos,OTH
C01082,Neu,OTH
C01083,Pos,OTH
C01084,Pos,PRY
C01085,Neg,BLM
C01086,Neg,OTH
C01087,Neg,ANG
C01088,Neg,BLM
C01089,Neg,PRY
C01090,Neg,ANG
C01091,Neu,OTH
C01092,Neg,ANG
C01093,Neg,ANG
C01094,Neg,PRY
C01095,Neg,OTH
C01096,Neg,GRF
C01097,Neu,OTH
C01098,Neg,ANG
C01099,Neg,ANG
C01100,Neg,GRF
C01101,Neu,OTH
C01102,Neu,OTH
C01103,Neu,OTH
C01104,Neg,ANG
C01105,Neg,ANG
C01106,Neg,ANG
C01107,Neu,OTH
C01108,Neu,OTH
C01109,Neg,BLM
C01110,Neu,OTH
C01111,Neg,OTH
C01112,Neg,OTH
C01113,Neu,OTH
C01114,Neu,OTH
C01115,Neg,BLM
C01116,Neg,BLM
C01117,Neg,ANG
C01118,Neg,ANG
C01119,Neg,GRF
C01120,Neg,ANG
C01121,Neg,BLM
C01122,Neg,OTH
C01123,Neg,OTH
C01124,Neu,OTH
C01125,Neg,OTH
C01126,Neu,OTH
C01127,Neg,ANG
C01128,Neu,OTH
C01129,Neg,BLM
C01130,Neu,OTH
C01131,Neg,ANG
C01132,Neg,GRF
C01133,Neg,BLM
C01134,Neu,OTH
C01135,Neg,OTH
C01136,Neg,BLM
C01137,Neg,ANG
C01138,Neu,OTH
C01139,Neg,BLM
C01140,Neu,OTH
C01141,Neu,OTH
C01142,Neg,OTH
C01143,Pos,OTH
C01144,Neg,BLM
C01145,Neu,OTH
C01146,Neg,BLM
C01147,Neu,OTH
C01148,Neg,BLM
C01149,Pos,OTH
C01150,Neg,ANG
C01151,Neg,BLM
C01152,Neu,OTH
C01153,Neg,OTH
C01154,Neu,OTH
C01155,Neg,BLM
C01156,Neu,OTH
C01157,Neu,OTH
C01158,Neg,GRF
C01159,Neg,GRF
C01160,Neg,GRF
C01161,Neg,BLM
C01162,Neu,OTH
C01163,Neg,ANG
C01164,Neu,OTH
C01165,Neg,GRF
C01166,Neg,GRF
C01167,Neu,PRY
C01168,Neg,GRF
C01169,Neg,BLM
C01170,Neg,GRF
C01171,Neg,BLM
C01172,Neg,ANG
C01173,Neu,OTH
C01174,Neg,GRF
C01175,Pos,PRY
C01176,Neu,OTH
C01177,Neg,BLM
C01178,Neg,BLM
C01179,Pos,PRY
C01180,Neg,GRF
C01181,Pos,OTH
C01182,Pos,PRY
C01183,Neu,OTH
C01184,Neg,GRF
C01185,Neg,ANG
C01186,Neu,OTH
C01187,Pos,PRY
C01188,Neg,BLM
C01189,Neu,OTH
C01190,Pos,OTH
C01191,Neu,OTH
C01192,Neg,ANG
C01193,Pos,OTH
C01194,Neg,GRF
C01195,Pos,PRY
C01196,Neu,OTH
C01197,Neg,BLM
C01198,Neu,OTH
C01199,Neg,BLM
C01200,Neg,BLM
