C00151,Neu,OTH
C00152,Pos,OTH
C00153,Pos,OTH
C00154,Neg,GRF
C00155,Neg,GRF
C00156,Pos,OTH
C00157,Neu,OTH
C00158,Neg,GRF
C00159,Neg,ANG
C00160,Neu,OTH
C00161,Pos,OTH
C00162,Neg,ANG
C00163,Neu,OTH
C00164,Neu,OTH
C00165,Neg,GRF
C00166,Pos,PRY
C00167,Neg,ANG
C00168,Pos,OTH
C00169,Neu,OTH
C00170,Neg,ANG
C00171,Pos,PRY
C00172,Neu,OTH
C00173,Neg,ANG
C00174,Pos,OTH
C00175,Pos,OTH
C00176,Neg,ANG
C00177,Neg,GRF
C00178,Neu,OTH
C00179,Neg,BLM
C00180,Neg,ANG
C00181,Neg,BLM
C00182,Neg,BLM
C00183,Pos,OTH
C00184,Neg,BLM
C00185,Neg,GRF
C00186,Neg,BLM
C00187,Neg,ANG
C00188,Neg,BLM
C00189,Neg,BLM
C00190,Neg,BLM
C00191,Neg,BLM
C00192,Neg,BLM
C00193,Pos,PRY
C00194,Neg,BLM
C00195,Neu,OTH
C00196,Pos,OTH
C00197,Neg,BLM
C00198,Neg,BLM
C00199,Neu,OTH
C00200,Neu,OTH
C00201,Neg,BLM
C00202,Neg,BLM
C00203,Neg,BLM
C00204,Neg,BLM
C00205,Neg,GRF
C00206,Pos,OTH
C00207,Neg,BLM
C00208,Neg,BLM
C00209,Neu,OTH
C00210,Neg,ANG
C00211,Neg,BLM
C00212,Neg,BLM
C00213,Neg,BLM
C00214,Neg,BLM
C00215,Neg,GRF
C00216,Neg,BLM
C00217,Neg,BLM
C00218,Neg,BLM
C00219,Neg,BLM
C00220,Neg,GRF
C00221,Neg,BLM
C00222,Neg,BLM
C00223,Neg,BLM
C00224,Neg,BLM
C00225,Neg,BLM
C00226,Neg,BLM
C00227,Neg,BLM
C00228,Neg,BLM
C00229,Neg,GRF
C00230,Neg,BLM
C00231,Neg,BLM
C00232,Neg,BLM
C00233,Neg,BLM
C00234,Neg,BLM
C00235,Neg,BLM
C00236,Neg,BLM
C00237,Neg,BLM
C00238,Neg,PRY
C00239,Neg,BLM
C00240,Neg,BLM
C00241,Neg,GRF
C00242,Neu,PRY
C00243,Neu,OTH
C00244,Neg,BLM
C00245,Neg,BLM
C00246,Neg,BLM
C00247,Neg,GRF
C00248,Pos,PRY
C00249,Neg,BLM
C00250,Neu,OTH
C00251,Neg,BLM
C00252,Neg,BLM
C00253,Neg,BLM
C00254,Neg,BLM
C00255,Neg,BLM
C00256,Neg,BLM
C00257,Neg,BLM
C00258,Neg,BLM
C00259,Neg,BLM
C00260,Neg,BLM
C00261,Neg,GRF
C00262,Neu,OTH
C00263,Neg,BLM
C00264,Neu,OTH
C00265,Neg,PRY
C00266,Neg,BLM
C00267,Neg,BLM
C00268,Neg,BLM
C00269,Neg,BLM
C00270,Neg,BLM
C00271,Neg,BLM
C00272,Neg,BLM
C00273,Neg,ANG
C00274,Neu,PRY
C00275,Neg,ANG
C00276,Neg,BLM
C00277,Neu,OTH
C00278,Neg,BLM
C00279,Neg,BLM
C00280,Neu,OTH
C00281,Neg,BLM
C00282,Neu,OTH
C00283,Neu,PRY
C00284,Neg,BLM
C00285,Neg,BLM
C00286,Neg,OTH
C00287,Neg,BLM
C00288,Neg,BLM
C00289,Neg,BLM
C00290,Neg,BLM
C00291,Neg,BLM
C00292,Neu,OTH
C00293,Neg,BLM
C00294,Neg,BLM
C00295,Neg,ANG
C00296,Neg,BLM
C00297,Neg,BLM
C00298,Neg,BLM
C00299,Neg,BLM
C00300,Neg,BLM
